スポット名,緯度,経度,信頼度,ソース
水ヶ浦漁港,35.5622261,135.4684324,high,"https://www.google.com/maps/search/%E6%B0%B4%E3%83%B6%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
成生漁港,35.5790552,135.4481965,high,"https://www.google.com/maps/search/%E6%88%90%E7%94%9F%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
瀬崎漁港,,,未取得,
西大浦漁港,35.5207308,135.3464589,high,"https://www.google.com/maps/search/%E8%A5%BF%E5%A4%A7%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
神崎漁港,,,未取得,
田井漁港,35.5854277,135.2419666,high,"https://www.google.com/maps/search/%E7%94%B0%E4%BA%95%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
野原漁港,35.5703711,135.4275052,high,"https://www.google.com/maps/search/%E9%87%8E%E5%8E%9F%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
竜宮浜漁港,35.5618725,135.3995062,high,"https://www.google.com/maps/search/%E7%AB%9C%E5%AE%AE%E6%B5%9C%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
舞鶴漁港,35.5039639,135.2639216,high,"https://www.google.com/maps/search/%E8%88%9E%E9%B6%B4%E6%BC%81%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
舞鶴港,35.5039639,135.2639216,high,"https://www.google.com/maps/search/%E8%88%9E%E9%B6%B4%E6%B8%AF%20%E8%88%9E%E9%B6%B4%E5%B8%82%20%E9%87%A3%E3%82%8A"
由良漁港,35.6613345,135.1230548,high,"https://www.google.com/maps/search/%E7%94%B1%E8%89%AF%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
島陰漁港,35.5751246,135.2511891,high,"https://www.google.com/maps/search/%E5%B3%B6%E9%99%B0%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
田井漁港,35.5854277,135.2419666,high,"https://www.google.com/maps/search/%E7%94%B0%E4%BA%95%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
溝尻漁港,35.6038433,135.231983,high,"https://www.google.com/maps/search/%E6%BA%9D%E5%B0%BB%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
栗田漁港,35.5521213,135.2204565,high,"https://www.google.com/maps/search/%E6%A0%97%E7%94%B0%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
養老漁港,35.6613345,135.2631305,high,"https://www.google.com/maps/search/%E9%A4%8A%E8%80%81%E6%BC%81%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
宮津港,35.5463521,135.1299482,high,"https://www.google.com/maps/search/%E5%AE%AE%E6%B4%A5%E6%B8%AF%20%E5%AE%AE%E6%B4%A5%E5%B8%82%20%E9%87%A3%E3%82%8A"
泊漁港,35.7068546,135.2785611,high,"https://www.google.com/maps/search/%E6%B3%8A%E6%BC%81%E6%B8%AF%20%E4%BC%8A%E6%A0%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
伊根漁港,35.7036181,135.2826281,high,"https://www.google.com/maps/search/%E4%BC%8A%E6%A0%B9%E6%BC%81%E6%B8%AF%20%E4%BC%8A%E6%A0%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
新井漁港,35.6932337,135.3031286,high,"https://www.google.com/maps/search/%E6%96%B0%E4%BA%95%E6%BC%81%E6%B8%AF%20%E4%BC%8A%E6%A0%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
浦島漁港,35.7335008,135.2734614,high,"https://www.google.com/maps/search/%E6%B5%A6%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E4%BC%8A%E6%A0%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
本庄漁港,35.7523747,135.2513414,high,"https://www.google.com/maps/search/%E6%9C%AC%E5%BA%84%E6%BC%81%E6%B8%AF%20%E4%BC%8A%E6%A0%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
袖志漁港,35.7646728,135.1974072,high,"https://www.google.com/maps/search/%E8%A2%96%E5%BF%97%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
竹野漁港,35.7449741,135.1085552,high,"https://www.google.com/maps/search/%E7%AB%B9%E9%87%8E%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
小間漁港,35.7368023,135.0848104,high,"https://www.google.com/maps/search/%E5%B0%8F%E9%96%93%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
砂方漁港,35.7216906,135.0802502,high,"https://www.google.com/maps/search/%E7%A0%82%E6%96%B9%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
三津漁港,35.7123439,135.065223,high,"https://www.google.com/maps/search/%E4%B8%89%E6%B4%A5%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
遊漁港,35.7023283,135.0402182,high,"https://www.google.com/maps/search/%E9%81%8A%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
磯漁港,35.690673,134.9949181,high,"https://www.google.com/maps/search/%E7%A3%AF%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
浜詰漁港,35.6723784,134.9639445,high,"https://www.google.com/maps/search/%E6%B5%9C%E8%A9%B0%E6%BC%81%E6%B8%AF%20%E4%BA%AC%E4%B8%B9%E5%BE%8C%E5%B8%82%20%E9%87%A3%E3%82%8A"
蒲井漁港,,,未取得,
旭漁港,,,未取得,
