スポット名,緯度,経度,ソースURL
大阪港,,,未取得
堺泉北港,,,未取得
堺出島漁港,,,未取得
石津漁港,,,未取得
高石漁港,,,未取得
忠岡港,34.4889721,135.3962743,"nominatim: 忠岡町 忠岡港"
泉大津港,34.5061399,135.3983576,"nominatim: 泉大津市 汐見町 港"
岸和田漁港,34.4661564,135.3697567,"nominatim: 岸和田市 地蔵浜町 漁港"
貝塚港,34.4501357,135.3378857,"nominatim: 貝塚市 港 二色南町"
佐野漁港,34.421235,135.3167903,"nominatim: 泉佐野市 新町 佐野漁港"
田尻漁港,34.4003049,135.2887368,"nominatim: 田尻町 りんくうポート北"
岡田漁港,,,未取得
樽井漁港,34.38167829,135.25822163,"https://tsuriba.info/spot/376"
西鳥取漁港,34.35507531,135.22951126,"https://tsuriba.info/spot/1278"
下荘漁港,34.3437284,135.20732403,"https://tsuriba.info/spot/1279"
淡輪漁港,34.33649073,135.17092109,"https://tsuriba.info/spot/361"
深日漁港,34.31969196,135.14185667,"https://tsuriba.info/spot/483"
小島漁港,34.31432203,135.09321213,"https://tsuriba.info/spot/502"
かもめ大橋,34.6117814,135.4212556,"nominatim: 大阪市住之江区 南港南 かもめ大橋"
シーサイドコスモ,,,未取得
舞洲,34.6654711,135.3976332,"nominatim: 大阪市此花区 北港緑地 舞洲"
汐見埠頭,,,未取得
貝塚人工島,34.45568642,135.33207893,"https://tsuriba.info/spot/369"
岸和田一文字,,,未取得
忠岡一文字,,,未取得
助松埠頭,,,未取得
大浜埠頭,,,未取得
夢洲,34.6529456,135.390524,"nominatim: 大阪市此花区 夢洲"
咲洲,,,未取得
泉佐野食品コンビナート,34.43108921,135.32306671,"https://tsuriba.info/spot/375"
りんくう公園,34.41441563,135.2936697,"https://tsuriba.info/spot/1276"
岬公園,34.33213188,135.16443014,"https://tsuriba.info/spot/1281"
多奈川護岸,,,未取得
平林貯木場,,,未取得
泉佐野旧港,,,未取得
岸和田旧港,34.4661039,135.3715611,"nominatim: 岸和田市 港緑町 旧港"
大阪北港,34.6678463,135.4078788,"nominatim: 大阪市此花区 常吉 北港"
大阪南港魚つり園,34.61487945,135.4013443,"https://tsuriba.info/spot/362"
とっとパーク小島,34.31636016,135.09863019,"https://tsuriba.info/spot/378"
淀川河口,,,未取得
大和川河口,,,未取得
石津川河口,,,未取得
大津川河口,34.50146928752461,135.37773603996894,"https://www.xn--u9jwc554om3rqo4bwmf.com/entry/%E5%A4%A7%E6%B4%A5%E5%B7%9D%E6%B2%B3%E5%8F%A3"
近木川河口,,,未取得
男里川河口,,,未取得
樫井川河口,,,未取得
りんくうビーチ,,,未取得
二色の浜,34.4371913,135.3343594,"nominatim: 貝塚市 二色の浜 海水浴場"
淡輪ビーチ,34.3367073,135.1882181,"nominatim: 岬町 淡輪 ときめきビーチ"
箱作ビーチ,34.341273,135.2007977,"nominatim: 阪南市 箱作 ぴちぴちビーチ"
泉南マーブルビーチ,,,未取得
