name,lat,lon,type,facing,shelter,coastline_dist,raw_shelter,blocked_sectors,prefecture,city,refPort
"南港大橋下",34.6670632,135.5333073,port,185,0.4,8196,0,"0/12 sectors blocked","大阪","","osaka"
"常吉大橋下",34.7368501,135.560202,pier,281,0,14130,0,"0/12 sectors blocked","大阪","","osaka"
"夢舞大橋下",34.6611385,135.3995733,pier,191,0.42,24,0.42,"5/12 sectors blocked","大阪","","osaka"
"海とのふれあい広場",34.601918,135.4283902,pier,19,0.75,175,0.75,"9/12 sectors blocked","大阪","","osaka"
"花市場前",34.6867167,135.1945794,pier,247,0.08,180,0.08,"1/12 sectors blocked","大阪","","osaka"
"なぎさ公園",34.5100034,135.4049064,park,301,0.4,2109,0,"0/12 sectors blocked","大阪","","osaka"
"大津川尻",34.2677167,135.310292,river,318,0.3,11940,0,"0/12 sectors blocked","大阪","","osaka"
"大津川水銀灯",34.51,135.405,pier,301,0,2116,0,"0/12 sectors blocked","大阪","","osaka"
"ホクシン前",34.490243,135.3703426,pier,278,0.75,5,0.75,"9/12 sectors blocked","大阪","","osaka"
"阪南港木材整理場",34.4833037,135.3725774,port,11,0.92,1,0.92,"11/12 sectors blocked","大阪","","osaka"
"岸和田渡船",34.4065768,135.412477,pier,220,0,7312,0,"0/12 sectors blocked","大阪","","osaka"
"深日港",34.3173615,135.1415804,port,339,0.4,95,0.25,"3/12 sectors blocked","大阪","","osaka"
"みさき公園裏",34.3324717,135.1654553,park,318,0.5,2,0.5,"6/12 sectors blocked","大阪","","osaka"
"泉大津人工島",34.524235,135.3980468,pier,301,0,745,0,"0/12 sectors blocked","大阪","","osaka"
"泉佐野・前島（旧フェリー乗り場）",34.4130619,135.3040581,pier,313,0.17,349,0.17,"2/12 sectors blocked","大阪","","osaka"
"海釣ポート田尻",34.4003049,135.2887368,pier,224,0.58,195,0.58,"7/12 sectors blocked","大阪","","osaka"
"尾崎漁港",34.3622095,135.2429496,port,326,0.4,467,0.08,"1/12 sectors blocked","大阪","","osaka"
"観音崎・谷川港",34.3194951,135.1228984,port,340,0.4,54,0.17,"2/12 sectors blocked","大阪","","osaka"
"汐見公園",34.509345,135.382281,park,223,0.4,384,0.08,"1/12 sectors blocked","大阪","","osaka"
"せんなん里海公園",34.3393218,135.2080013,park,306,0.4,336,0.25,"3/12 sectors blocked","大阪","","osaka"
