name,toilet,parking,address,fish,hasBanInfo,sources,url
シーサイドコスモ,あり,あり,,ショアジギング・根魚狙い,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/シーサイドコスモ
大阪南港魚つり園護岸,あり,あり,,根魚狙い・青物・ショアジギング,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/大阪南港魚つり園護岸
かもめ大橋下,なし,なし,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/かもめ大橋下
南港大橋下,なし,なし,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/南港大橋下
常吉大橋下,なし,なし,,,,大阪湾の釣り.com|大阪湾の釣り.com|大阪湾の釣り.com,https://www.xn--u9jwc554om3rqo4bwmf.com/entry/常吉大橋下
夢舞大橋下,あり,あり,,ショアジギング・根魚狙い,,大阪湾の釣り.com|大阪湾の釣り.com|大阪湾の釣り.com,https://www.xn--u9jwc554om3rqo4bwmf.com/entry/夢舞大橋下
海とのふれあい広場,あり,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/海とのふれあい広場
大浜埠頭,あり,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com|大阪湾の釣り.com,https://www.xn--u9jwc554om3rqo4bwmf.com/entry/大浜埠頭
花市場前,あり,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/花市場前
助松埠頭倉庫前１,なし,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/助松埠頭倉庫前１
助松埠頭倉庫前２,なし,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/助松埠頭倉庫前２
なぎさ公園,あり,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/なぎさ公園
汐見埠頭砂上げ場,なし,あり,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/汐見埠頭砂上げ場
大津川尻,なし,なし,,根魚狙い・青物,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/大津川尻
大津川河口,あり,なし,,青物・根魚狙い,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/大津川河口
大津川水銀灯,なし,なし,,,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/大津川水銀灯
ホクシン前,なし,なし,,根魚狙い,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/ホクシン前
阪南港木材整理場,なし,なし,,根魚狙い,,大阪湾の釣り.com|大阪湾の釣り.com,https://www.大阪湾の釣り.com/entry/阪南港木材整理場
