スポット名,県,tsurispot名,緯度,経度,ソース
田ノ浦漁港,wakayama,田ノ浦漁港,34.2058,135.13,"https://tsurispot.com/spots/tanoura-gyoko"
雑賀崎漁港,wakayama,雑賀崎漁港,34.186,135.138,"https://tsurispot.com/spots/saigasaki-gyoko"
和歌浦漁港,wakayama,和歌浦漁港,34.185,135.158,"https://tsurispot.com/spots/wakaura-gyoko"
小浦漁港,wakayama,小浦漁港,33.842,135.148,"https://tsurispot.com/spots/koura-gyoko-wakayama"
塩屋漁港,hyogo,塩屋漁港,34.636,135.105,"https://tsurispot.com/spots/shioya-gyoko"
印南漁港,wakayama,印南漁港,33.828,135.218,"https://tsurispot.com/spots/inami-gyoko-add3"
田辺漁港,wakayama,田辺漁港,33.728,135.37,"https://tsurispot.com/spots/tanabe-gyoko"
口和深漁港,wakayama,和深漁港,33.512,135.658,"https://tsurispot.com/spots/wabuka-gyoko"
煙樹ヶ浜,wakayama,美浜町煙樹ヶ浜,33.889,135.135,"https://tsurispot.com/spots/enjugahama-surf"
日置川河口,wakayama,日置川河口,33.6312,135.5017,"https://tsurispot.com/spots/hikigawa-kakou"
堺泉北港,osaka,堺泉北港,34.5941,135.3967,"https://tsurispot.com/spots/sakai-senboku-port"
佐野漁港,osaka,泉佐野漁港,34.412,135.322,"https://tsurispot.com/spots/izumisano-gyoko"
樽井漁港,osaka,樽井漁港,34.378,135.248,"https://tsurispot.com/spots/tarui-gyoko"
小島漁港,osaka,小島漁港,34.31,135.13,"https://tsurispot.com/spots/kojima-port-osaka"
舞洲,osaka,舞洲,34.663,135.401,"https://tsurispot.com/spots/maishima-tsuri"
汐見埠頭,osaka,汐見埠頭 砂上げ場,34.505,135.375,"https://tsurispot.com/spots/shiomi-wharf"
助松埠頭,osaka,助松埠頭,34.5112,135.381212,"https://tsurispot.com/spots/sukematsu-wharf"
大浜埠頭,osaka,堺泉北港・大浜埠頭,34.568,135.455,"https://tsurispot.com/spots/sakai-ohama-futo"
岸和田旧港,osaka,岸和田旧港南側,34.46,135.3717,"https://tsurispot.com/spots/kishiwada-south"
大阪南港魚つり園,osaka,大阪南港魚つり園,34.6112,135.3934,"https://tsurispot.com/spots/osaka-nanko-fishing-park"
二色の浜,osaka,二色の浜,34.4335,135.3397,"https://tsurispot.com/spots/nishikinoham-tsuri"
深日港,osaka,深日港,34.3206,135.1384,"https://tsurispot.com/spots/fuke-port-detail"
泉大津人工島,osaka,泉大津人工島,34.4958,135.3712,"https://tsurispot.com/spots/izumiotsu-jinkoutou"
観音崎・谷川港,osaka,谷川港,34.315,135.135,"https://tsurispot.com/spots/tanigawa-port"
野原漁港,kyoto,野原漁港,35.528,135.29,"https://tsurispot.com/spots/nohara-gyoko"
舞鶴漁港,kyoto,舞鶴漁港,35.473,135.384,"https://tsurispot.com/spots/maizuru-gyoko"
宮津港,kyoto,宮津港,35.5469,135.2,"https://tsurispot.com/spots/miyazu-port"
竹野漁港,hyogo,竹野漁港,35.652,134.765,"https://tsurispot.com/spots/takeno-gyoko-hyogo"
三津漁港,kyoto,三津漁港,35.72,135.065,"https://tsurispot.com/spots/mitsu-gyoko"
磯漁港,kyoto,磯漁港,35.713,135.05,"https://tsurispot.com/spots/iso-gyoko-amino"
間人漁港,kyoto,間人漁港,35.726,135.076,"https://tsurispot.com/spots/taiza-gyoko"
浅茂川漁港,kyoto,浅茂川漁港,35.7212,135.0612,"https://tsurispot.com/spots/asamogawa-port"
中浜漁港,kyoto,中浜漁港,35.72,135.09,"https://tsurispot.com/spots/nakahama-gyoko"
天橋立,kyoto,天橋立阿蘇海,35.5612,135.1612,"https://tsurispot.com/spots/amanohashidate-asokai"
由良川河口,kyoto,由良川河口,35.505,135.23,"https://tsurispot.com/spots/yuragawa-kakou"
久美浜湾,kyoto,久美浜,35.63,134.905,"https://tsurispot.com/spots/kumihama-tsuri"
尼崎市立魚つり公園,hyogo,尼崎市立魚つり公園,34.6812,135.38,"https://tsurispot.com/spots/amagasaki-fishing-park"
西宮ケーソン,hyogo,西宮ケーソン,34.718,135.335,"https://tsurispot.com/spots/nishinomiya-caisson"
南芦屋浜,hyogo,南芦屋浜,34.7112,135.3117,"https://tsurispot.com/spots/minami-ashiyahama"
平磯海づり公園,hyogo,平磯海づり公園,34.6264,135.0661,"https://tsurispot.com/spots/hiraiso-fishing-park"
塩屋漁港,hyogo,塩屋漁港,34.636,135.105,"https://tsurispot.com/spots/shioya-gyoko"
垂水漁港,hyogo,垂水漁港,34.631,135.052,"https://tsurispot.com/spots/tarumi-gyoko"
明石港,hyogo,明石港,34.643,134.987,"https://tsurispot.com/spots/akashi-port-detail"
大蔵海岸,hyogo,明石大蔵海岸,34.6421,135.0154,"https://tsurispot.com/spots/akashi-okura-coast"
明石新浜漁港,hyogo,新浜漁港（明石浦漁港）,34.643,134.988,"https://tsurispot.com/spots/shinhama-gyoko-akashi"
東二見人工島,hyogo,東二見人工島,34.668,134.892,"https://tsurispot.com/spots/higashi-futami-jinkoto"
二見港,hyogo,二見港防波堤,34.6567,134.9,"https://tsurispot.com/spots/futami-port-bouhatei"
加古川河口,hyogo,加古川河口,34.721,134.815,"https://tsurispot.com/spots/kakogawa-kakou"
高砂港,hyogo,高砂港,34.7278,134.7989,"https://tsurispot.com/spots/takasago-port"
別府港,hyogo,別府港（兵庫）,34.722,134.835,"https://tsurispot.com/spots/beppu-port-hyogo"
姫路港,hyogo,姫路港飾磨,34.778,134.655,"https://tsurispot.com/spots/himeji-ko-shikama"
飾磨港,hyogo,姫路飾磨港,34.7933,134.6567,"https://tsurispot.com/spots/himeji-shikama-port"
網干港,hyogo,網干港,34.793,134.639,"https://tsurispot.com/spots/aboshi-kou"
相生港,hyogo,相生港,34.7977,134.4747,"https://tsurispot.com/spots/aioi-ko"
赤穂港,hyogo,赤穂港,34.744,134.387,"https://tsurispot.com/spots/ako-port"
浦漁港,hyogo,須磨浦漁港,34.634,135.126,"https://tsurispot.com/spots/sumaura-gyoko"
富島漁港,hyogo,富島漁港,34.534,134.906,"https://tsurispot.com/spots/tomishima-gyoko"
