スポット名,緯度,経度,信頼度,ソース
田ノ浦漁港,34.18342354,135.15264988,high,"https://tsuriba.info/spot/383"
雑賀崎漁港,34.18683161,135.14516115,high,"https://tsuriba.info/spot/506"
和歌浦漁港,34.1859557,135.1551078,high,"https://www.google.com/maps/search/%E5%92%8C%E6%AD%8C%E6%B5%A6%E6%BC%81%E6%B8%AF%20%E5%92%8C%E6%AD%8C%E5%B1%B1%E5%B8%82%20%E9%87%A3%E3%82%8A"
塩津漁港,34.13555405,135.16900063,high,"https://tsuriba.info/spot/1161"
戸坂漁港,34.1363888,135.15863657,high,"https://tsuriba.info/spot/1162"
初島漁港,34.0974593,135.1063925,high,"https://www.google.com/maps/search/%E5%88%9D%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
矢櫃漁港,34.0687008,135.0908733,high,"https://www.google.com/maps/search/%E7%9F%A2%E6%AB%83%E6%BC%81%E6%B8%AF%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
逢井漁港,34.0713353,135.0959165,high,"https://www.google.com/maps/search/%E9%80%A2%E4%BA%95%E6%BC%81%E6%B8%AF%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
千田漁港,34.06387671,135.13564467,high,"https://tsuriba.info/spot/1163"
箕島漁港,34.0762523,135.0189218,high,"https://www.google.com/maps/search/%E7%AE%95%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E6%9C%89%E7%94%B0%E5%B8%82%20%E9%87%A3%E3%82%8A"
田村漁港,34.05360166,135.14714599,high,"https://tsuriba.info/spot/1164"
栖原漁港,34.04104947,135.16179085,high,"https://tsuriba.info/spot/1165"
唐尾漁港,34.00717064,135.14503241,high,"https://tsuriba.info/spot/1167"
鈴子漁港,34.0234212,135.1302311,high,"https://www.google.com/maps/search/%E9%88%B4%E5%AD%90%E6%BC%81%E6%B8%AF%20%E5%BA%83%E5%B7%9D%E7%94%BA%20%E9%87%A3%E3%82%8A"
三尾川漁港,33.9446043,135.1125995,high,"https://www.google.com/maps/search/%E4%B8%89%E5%B0%BE%E5%B7%9D%E6%BC%81%E6%B8%AF%20%E7%94%B1%E8%89%AF%E7%94%BA%20%E9%87%A3%E3%82%8A"
戸津井漁港,33.98918536,135.09210706,high,"https://tsuriba.info/spot/1168"
小引漁港,33.98205957,135.08971453,high,"https://tsuriba.info/spot/513"
大引漁港,33.96858032,135.08407116,high,"https://tsuriba.info/spot/1169"
衣奈漁港,33.98961235,135.10746002,high,"https://tsuriba.info/spot/507"
小浦漁港,33.92612677,135.07435083,high,"https://tsuriba.info/spot/1172"
津久野漁港,33.9239874,135.0789927,high,"https://www.google.com/maps/search/%E6%B4%A5%E4%B9%85%E9%87%8E%E6%BC%81%E6%B8%AF%20%E6%97%A5%E9%AB%98%E7%94%BA%20%E9%87%A3%E3%82%8A"
比井漁港,33.91793622,135.08160353,high,"https://tsuriba.info/spot/1173"
産湯漁港,33.91182842,135.0815177,high,"https://tsuriba.info/spot/1174"
田杭漁港,33.89471354,135.06430864,high,"https://tsuriba.info/spot/1176"
阿尾漁港,33.90463382,135.07611036,high,"https://tsuriba.info/spot/1175"
三尾漁港,33.8879316,135.082727,high,"https://www.google.com/maps/search/%E4%B8%89%E5%B0%BE%E6%BC%81%E6%B8%AF%20%E7%BE%8E%E6%B5%9C%E7%94%BA%20%E9%87%A3%E3%82%8A"
本ノ脇漁港,,,未取得,
祓井戸漁港,33.8514221,135.165722,high,"https://www.google.com/maps/search/%E7%A5%93%E4%BA%95%E6%88%B8%E6%BC%81%E6%B8%AF%20%E5%BE%A1%E5%9D%8A%E5%B8%82%20%E9%87%A3%E3%82%8A"
野島漁港,33.8431225,135.168441,high,"https://www.google.com/maps/search/%E9%87%8E%E5%B3%B6%E6%BC%81%E6%B8%AF%20%E5%BE%A1%E5%9D%8A%E5%B8%82%20%E9%87%A3%E3%82%8A"
加尾漁港,33.83857187,135.17406464,high,"https://tsuriba.info/spot/1177"
上野漁港,33.82582751,135.18363476,high,"https://tsuriba.info/spot/1178"
下楠井漁港,33.81588024,135.19438505,high,"https://tsuriba.info/spot/1179"
塩屋漁港,33.8629994,135.1566774,high,"https://www.google.com/maps/search/%E5%A1%A9%E5%B1%8B%E6%BC%81%E6%B8%AF%20%E5%BE%A1%E5%9D%8A%E5%B8%82%20%E9%87%A3%E3%82%8A"
津井漁港,33.811682,135.205119,high,"https://www.google.com/maps/search/%E6%B4%A5%E4%BA%95%E6%BC%81%E6%B8%AF%20%E5%8D%B0%E5%8D%97%E7%94%BA%20%E9%87%A3%E3%82%8A"
印南漁港,33.8112262,135.212167,high,"https://www.google.com/maps/search/%E5%8D%B0%E5%8D%97%E6%BC%81%E6%B8%AF%20%E5%8D%B0%E5%8D%97%E7%94%BA%20%E9%87%A3%E3%82%8A"
切目漁港,33.7806644,135.2392275,high,"https://www.google.com/maps/search/%E5%88%87%E7%9B%AE%E6%BC%81%E6%B8%AF%20%E5%8D%B0%E5%8D%97%E7%94%BA%20%E9%87%A3%E3%82%8A"
島田漁港,33.8124623,135.0784221,high,"https://www.google.com/maps/search/%E5%B3%B6%E7%94%B0%E6%BC%81%E6%B8%AF%20%E5%8D%B0%E5%8D%97%E7%94%BA%20%E9%87%A3%E3%82%8A"
岩代漁港,33.778178,135.281873,high,"https://www.google.com/maps/search/%E5%B2%A9%E4%BB%A3%E6%BC%81%E6%B8%AF%20%E3%81%BF%E3%81%AA%E3%81%B9%E7%94%BA%20%E9%87%A3%E3%82%8A"
